127.0.0.1 - - [03/Sep/2024:10:14:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:15:20 +0900] "GET /test%E3%85%93 HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:15:24 +0900] "GET /testj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:15:24 +0900] "GET /testj/ HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:15:28 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:14 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:14 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:18 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:19 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:19 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:20 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:51:29 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:36:03 +0900] "GET /testj/ HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:36:03 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:36:04 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:36:05 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:36:05 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 200 597
